waveform	Ch0	
t0	3/24/2022  12:11:44.922525	
delta t	2.000000E-6	

time[0]	Ch0
3/24/2022  12:11:44.922753	-1.054130E+1
3/24/2022  12:11:44.922755	-1.054130E+1
3/24/2022  12:11:44.922757	-1.054130E+1
3/24/2022  12:11:44.922759	-1.054130E+1
3/24/2022  12:11:44.922761	-1.054130E+1
3/24/2022  12:11:44.922763	-1.054130E+1
3/24/2022  12:11:44.922765	-1.054130E+1
3/24/2022  12:11:44.922767	-1.054130E+1
3/24/2022  12:11:44.922769	-1.054130E+1
3/24/2022  12:11:44.922771	-1.054130E+1
3/24/2022  12:11:44.922773	-1.054130E+1
3/24/2022  12:11:44.922775	-1.054130E+1
3/24/2022  12:11:44.922777	-1.054130E+1
3/24/2022  12:11:44.922779	-1.054130E+1
3/24/2022  12:11:44.922781	-1.054130E+1
3/24/2022  12:11:44.922783	-1.054130E+1
3/24/2022  12:11:44.922785	-1.054130E+1
3/24/2022  12:11:44.922787	-1.054130E+1
3/24/2022  12:11:44.922789	-1.054130E+1
3/24/2022  12:11:44.922791	-1.054130E+1
3/24/2022  12:11:44.922793	-1.054130E+1
3/24/2022  12:11:44.922795	-1.054130E+1
3/24/2022  12:11:44.922797	-1.054130E+1
3/24/2022  12:11:44.922799	-1.054130E+1
3/24/2022  12:11:44.922801	-1.054130E+1
3/24/2022  12:11:44.922803	-1.054130E+1
3/24/2022  12:11:44.922805	-1.054130E+1
3/24/2022  12:11:44.922807	-1.054130E+1
3/24/2022  12:11:44.922809	-1.054130E+1
3/24/2022  12:11:44.922811	-1.054130E+1
3/24/2022  12:11:44.922813	-1.054130E+1
3/24/2022  12:11:44.922815	-1.054130E+1
3/24/2022  12:11:44.922817	-1.054130E+1
3/24/2022  12:11:44.922819	-1.054130E+1
3/24/2022  12:11:44.922821	-1.054130E+1
3/24/2022  12:11:44.922823	-1.054130E+1
3/24/2022  12:11:44.922825	-1.054130E+1
3/24/2022  12:11:44.922827	-1.054130E+1
3/24/2022  12:11:44.922829	-1.054130E+1
3/24/2022  12:11:44.922831	-1.054130E+1
3/24/2022  12:11:44.922833	-1.054130E+1
3/24/2022  12:11:44.922835	-1.054130E+1
3/24/2022  12:11:44.922837	-1.054130E+1
3/24/2022  12:11:44.922839	-1.054130E+1
3/24/2022  12:11:44.922841	-1.054130E+1
3/24/2022  12:11:44.922843	-1.054130E+1
3/24/2022  12:11:44.922845	-1.054130E+1
3/24/2022  12:11:44.922847	-1.054130E+1
3/24/2022  12:11:44.922849	-1.054130E+1
3/24/2022  12:11:44.922851	-1.054130E+1
3/24/2022  12:11:44.922853	-1.054130E+1
3/24/2022  12:11:44.922855	-1.054130E+1
3/24/2022  12:11:44.922857	-1.054130E+1
3/24/2022  12:11:44.922859	-1.054130E+1
3/24/2022  12:11:44.922861	-1.054130E+1
3/24/2022  12:11:44.922863	-1.054130E+1
3/24/2022  12:11:44.922865	-1.054130E+1
3/24/2022  12:11:44.922867	-1.054130E+1
3/24/2022  12:11:44.922869	-1.054130E+1
3/24/2022  12:11:44.922871	-1.054130E+1
3/24/2022  12:11:44.922873	-1.054130E+1
3/24/2022  12:11:44.922875	-1.054130E+1
3/24/2022  12:11:44.922877	-1.054130E+1
3/24/2022  12:11:44.922879	-1.054130E+1
3/24/2022  12:11:44.922881	-1.054130E+1
3/24/2022  12:11:44.922883	-1.054130E+1
3/24/2022  12:11:44.922885	-1.054130E+1
3/24/2022  12:11:44.922887	-1.054130E+1
3/24/2022  12:11:44.922889	-1.054130E+1
3/24/2022  12:11:44.922891	-1.054130E+1
3/24/2022  12:11:44.922893	-1.054130E+1
3/24/2022  12:11:44.922895	-1.054130E+1
3/24/2022  12:11:44.922897	-1.054130E+1
3/24/2022  12:11:44.922899	-1.054130E+1
3/24/2022  12:11:44.922901	-1.054130E+1
3/24/2022  12:11:44.922903	-1.054130E+1
3/24/2022  12:11:44.922905	-1.054130E+1
3/24/2022  12:11:44.922907	-1.054130E+1
3/24/2022  12:11:44.922909	-1.054130E+1
3/24/2022  12:11:44.922911	-1.054130E+1
3/24/2022  12:11:44.922913	-1.054130E+1
3/24/2022  12:11:44.922915	-1.054130E+1
3/24/2022  12:11:44.922917	-1.054130E+1
3/24/2022  12:11:44.922919	-1.054130E+1
3/24/2022  12:11:44.922921	-1.054130E+1
3/24/2022  12:11:44.922923	-1.054130E+1
3/24/2022  12:11:44.922925	-1.054130E+1
3/24/2022  12:11:44.922927	-1.054130E+1
3/24/2022  12:11:44.922929	-1.054130E+1
3/24/2022  12:11:44.922931	-1.054130E+1
3/24/2022  12:11:44.922933	-1.054130E+1
3/24/2022  12:11:44.922935	-1.054130E+1
3/24/2022  12:11:44.922937	-1.054130E+1
3/24/2022  12:11:44.922939	-1.054130E+1
3/24/2022  12:11:44.922941	-1.054130E+1
3/24/2022  12:11:44.922943	-1.054130E+1
3/24/2022  12:11:44.922945	-1.054130E+1
3/24/2022  12:11:44.922947	-1.054130E+1
3/24/2022  12:11:44.922949	-1.054130E+1
3/24/2022  12:11:44.922951	-1.054130E+1
3/24/2022  12:11:44.922953	-1.054130E+1
3/24/2022  12:11:44.922955	-1.054130E+1
3/24/2022  12:11:44.922957	-1.054130E+1
3/24/2022  12:11:44.922959	-1.054130E+1
3/24/2022  12:11:44.922961	-1.054130E+1
3/24/2022  12:11:44.922963	-1.054130E+1
3/24/2022  12:11:44.922965	-1.054130E+1
3/24/2022  12:11:44.922967	-1.054130E+1
3/24/2022  12:11:44.922969	-1.054130E+1
3/24/2022  12:11:44.922971	-1.054130E+1
3/24/2022  12:11:44.922973	-1.054130E+1
3/24/2022  12:11:44.922975	-1.054130E+1
3/24/2022  12:11:44.922977	-1.054130E+1
3/24/2022  12:11:44.922979	-1.054130E+1
3/24/2022  12:11:44.922981	-1.054130E+1
3/24/2022  12:11:44.922983	-1.054130E+1
3/24/2022  12:11:44.922985	-1.054130E+1
3/24/2022  12:11:44.922987	-1.054130E+1
3/24/2022  12:11:44.922989	-1.054130E+1
3/24/2022  12:11:44.922991	-1.054130E+1
3/24/2022  12:11:44.922993	-1.054130E+1
3/24/2022  12:11:44.922995	-1.054130E+1
3/24/2022  12:11:44.922997	-1.054130E+1
3/24/2022  12:11:44.922999	-1.054130E+1
3/24/2022  12:11:44.923001	-1.054130E+1
3/24/2022  12:11:44.923003	-1.054130E+1
3/24/2022  12:11:44.923005	-1.054130E+1
3/24/2022  12:11:44.923007	-1.054130E+1
3/24/2022  12:11:44.923009	-1.054130E+1
3/24/2022  12:11:44.923011	-1.054130E+1
3/24/2022  12:11:44.923013	-1.054130E+1
3/24/2022  12:11:44.923015	-1.054130E+1
3/24/2022  12:11:44.923017	-1.054130E+1
3/24/2022  12:11:44.923019	-1.054130E+1
3/24/2022  12:11:44.923021	-1.054130E+1
3/24/2022  12:11:44.923023	-1.054130E+1
3/24/2022  12:11:44.923025	-1.054130E+1
3/24/2022  12:11:44.923027	-1.054130E+1
3/24/2022  12:11:44.923029	-1.054130E+1
3/24/2022  12:11:44.923031	-1.054130E+1
3/24/2022  12:11:44.923033	-1.054130E+1
3/24/2022  12:11:44.923035	-1.054130E+1
3/24/2022  12:11:44.923037	-1.054130E+1
3/24/2022  12:11:44.923039	-1.054130E+1
3/24/2022  12:11:44.923041	-1.054130E+1
3/24/2022  12:11:44.923043	-1.054130E+1
3/24/2022  12:11:44.923045	-1.054130E+1
3/24/2022  12:11:44.923047	-1.054130E+1
3/24/2022  12:11:44.923049	-1.054130E+1
3/24/2022  12:11:44.923051	-1.054130E+1
3/24/2022  12:11:44.923053	-1.054130E+1
3/24/2022  12:11:44.923055	-1.054130E+1
